"","inst","volume","ram_length","ram_thickness","ram_extent","sigma","eid","calve","ram_vol","ram_percent","short_extent"
"197","ZTI",6.09e+08,40,70,1369,579674,17665,NA,3833200,0.6,"yes"
"198","ZTI",6.12e+08,60,70,1391,861034,17433,NA,5842200,1,"yes"
"199","BST",5.14e+08,20,70,1116,341815,14193,NA,1562400,0.3,"yes"
"200","BST",5.16e+08,40,70,1151,655530,10249,NA,3222800,0.6,"yes"
"201","BST",5.18e+08,60,70,1267,1030000,16561,NA,5321400,1,"yes"
"202","PYO",2.59e+08,20,90,692,605925,8411,TRUE,1245600,0.5,"yes"
"203","PYO",2.61e+08,40,90,777,1290000,15381,TRUE,2797200,1.1,"yes"
"204","LWI",1.84e+08,20,90,518,238497,8232,FALSE,932400,0.5,"yes"
"205","LWI",1.85e+08,40,90,573,354241,9501,TRUE,2062800,1.1,"yes"
"206","LWI",1.87e+08,60,90,712,605787,13191,TRUE,3844800,2.1,"yes"
"207","WCZ",1.05e+09,20,90,1562,462113,122342,TRUE,2811600,0.3,"yes"
"208","WCZ",1.06e+09,40,90,1577,565916,20271,TRUE,5677200,0.5,"yes"
"209","ZVB",7.97e+08,40,90,796,352414,70131,TRUE,2865600,0.4,"yes"
"210","PJJ",1.19e+08,20,90,373,288079,5081,TRUE,671400,0.6,"yes"
"211","PJJ",1.2e+08,40,90,479,565576,6661,TRUE,1724400,1.4,"yes"
"212","PJJ",1.21e+08,60,90,552,921000,10141,TRUE,2980800,2.5,"yes"
"213","QWZ",2.33e+08,20,90,556,295114,33501,FALSE,1000800,0.4,"yes"
"214","QWZ",2.34e+08,40,90,642,557504,11671,TRUE,2311200,1,"yes"
"215","QWZ",2.35e+08,60,90,776,866000,14911,TRUE,4190400,1.8,"yes"
"216","HFL",3.99e+08,20,90,1818,956000,12291,TRUE,3272400,0.8,"yes"
"217","HFL",4.05e+08,40,90,1832,1560000,11951,TRUE,6595200,1.6,"yes"
"218","BSS",1.39e+08,20,90,806,314637,2574,FALSE,1450800,1,"yes"
"219","BSS",1.41e+08,40,90,880,389553,7881,TRUE,3168000,2.2,"yes"
"220","BSS",1.42e+08,60,90,1005,597423,10381,TRUE,5427000,3.8,"yes"
"221","BCS",1.8e+08,40,90,403,653155,5841,TRUE,1450800,0.8,"yes"
"222","BCS",1.82e+08,60,90,592,466802,11521,TRUE,3196800,1.8,"yes"
"223","RGN",1.3e+09,40,90,2361,841000,28871,TRUE,8499600,0.7,"yes"
"224","RGN",1.31e+09,60,90,2443,1070000,31731,TRUE,13192200,1,"yes"
"225","FPS",1.48e+09,20,90,2962,387287,68331,FALSE,5331600,0.4,"yes"
"226","FPS",1.49e+09,40,90,3099,798000,28101,TRUE,11156400,0.7,"yes"
"227","FPS",1.5e+09,60,90,3797,1090000,36421,TRUE,20503800,1.4,"yes"
"228","WXE",1.37e+09,40,90,1019,849000,36651,TRUE,3668400,0.3,"yes"
"229","IWV",1.26e+09,40,90,1434,894000,18611,TRUE,5162400,0.4,"yes"
"230","IWV",1.27e+09,60,90,1617,1210000,32931,TRUE,8731800,0.7,"yes"
"231","RFC",2e+08,20,90,1002,333408,25581,FALSE,1803600,0.9,"yes"
"232","RFC",2.04e+08,40,90,1088,388167,48431,TRUE,3916800,1.9,"yes"
"233","MUX",1.85e+09,40,90,956,603972,64421,TRUE,3441600,0.2,"yes"
"234","MUX",1.89e+09,60,90,1131,933000,322121,TRUE,6107400,0.3,"yes"
"235","XLL",1.53e+09,20,90,2686,419766,165411,FALSE,4834800,0.3,"yes"
"236","XLL",1.16e+09,40,90,2798,580248,60161,TRUE,10072800,0.9,"yes"
"237","XLL",1.16e+09,60,90,2885,846000,38551,TRUE,15579000,1.3,"yes"
"238","RPD",1.11e+09,40,90,590,367012,43161,TRUE,2124000,0.2,"yes"
"239","RPD",1.11e+09,60,90,710,594473,32071,TRUE,3834000,0.3,"yes"
